Longitude;Latitude;Param-1;Param-2
19.16416874;48.74456202;125.5286702;44.49875884
19.16434914;48.74419199;199.4169719;38.7217027
19.16436705;48.74429798;182.4696121;51.82386291
19.16436866;48.74458424;135.2861846;28.26091064
19.16436926;48.74416529;194.167076;33.18796202
19.16438558;48.74435797;269.5017018;41.54718549
19.16467625;48.74474675;123.5957514;50.17516452
19.16467903;48.74491049;227.5942001;53.86829323
19.16475419;48.74445235;268.1170248;49.81891983
19.16478605;48.74459844;286.1624861;48.72249241
19.16490302;48.74438757;170.0740595;39.91502041
19.16492669;48.74428738;226.9984393;49.98679234
19.16503369;48.74418475;270.7040886;51.79658246
19.1650441;48.74442524;141.0927814;27.08678831
19.16511461;48.74444045;174.0011049;28.48636337
19.16517511;48.74414662;183.4160329;36.5196316
19.16528758;48.74415888;278.8135916;25.75883603
19.16529575;48.74436035;147.055775;52.15407237
19.16537113;48.74414612;268.85364;26.26004356
19.16540186;48.74419462;275.7261855;45.94481728
19.16544077;48.74464663;212.4251246;39.86864882
19.16545391;48.74498458;243.3973221;45.9017363
19.16548617;48.74489005;250.4422414;40.91168072
19.16552673;48.74426885;175.4501407;26.68548161
19.16554776;48.74416157;225.547287;52.38643641
19.16593751;48.74454705;250.64315;26.7393573
19.16600878;48.74447722;221.0070605;40.76920815
19.16628994;48.74487664;178.5883041;30.35895809
19.16631835;48.74458298;131.3111186;40.98742527
19.16642806;48.74484509;128.4;28.48412373
